filename,average_copy_length_gpt,average_highlight_length_gpt,average_mousewheel_distance_gpt,average_paste_length_gpt,average_prompt_duration_gpt,click_count_gpt,copy_count_gpt,delete_count_gpt,,highlight_count_gpt,idle_count_gpt,keypress_count_gpt,med_copy_length_gpt,med_highlight_length_gpt,med_idle_duration_gpt,med_mousewheel_distance_gpt,med_paste_length_gpt,med_prompt_duration_gpt,mousewheel_count_gpt,paste_count_gpt,total_idle_duration_gpt,total_mouse_movement_gpt,total_mousewheel_distance_gpt,totaltime_gpt,windowswitch_count_gpt,windowswitch_speed_gpt,average_copy_length_tasksheet,average_highlight_length_tasksheet,average_mousewheel_distance_tasksheet,average_paste_length_tasksheet,average_prompt_duration_tasksheet,click_count_tasksheet,copy_count_tasksheet,delete_count_tasksheet,,highlight_count_tasksheet,idle_count_tasksheet,keypress_count_tasksheet,med_copy_length_tasksheet,med_highlight_length_tasksheet,med_idle_duration_tasksheet,med_mousewheel_distance_tasksheet,med_paste_length_tasksheet,med_prompt_duration_tasksheet,mousewheel_count_tasksheet,paste_count_tasksheet,total_idle_duration_tasksheet,total_mouse_movement_tasksheet,total_mousewheel_distance_tasksheet,total_working_time_tasksheet,totaltime_tasksheet,score_AI,score_alone,score_overreliance
A2.json,337,203.36,99.99999885,0,24.57511111,47,1,212,,25,38,605,337,99,2008,99.99999885,0,15.799,145,0,76287,53245.77842,14499.99983,615.909,3,205.303,0,49,49.99999942,337,0,9,0,2,,2,4,53,0,49,2005,49.99999942,337,0,75,1,8022,23284.34481,3749.999957,617.08,617.08,32,61,-29
A3.json,0,6.333333333,86.23076923,946,19.374,22,0,114,,3,48,529,0,2,2002,102,946,11.604,312,1,96087,26918.72791,26904,804.573,4,201.14325,946,195.8,56.2345679,0,0,12,1,22,,5,29,438,946,2,2002,47,0,0,81,0,58043,9949.566533,4555,800.993,800.993,61,42,19
A4.json,19.18181818,96.53333333,63.63094606,1299,10.12166667,33,11,7,,15,40,108,16,14,2002,24.88830566,1299,10.037,69,1,80069,26747.64344,4390.535278,945.062,22,42.95736364,281.6,233.5833333,42.63376273,20.35294118,0,37,5,9,,12,53,92,27,24,2002,17.02758789,18,0,51,17,106222,31209.39086,2174.321899,870.951,870.951,51,45,6
A5.json,0,0,120.8333333,0,0,6,0,0,,0,5,0,0,0,2002,100,0,0,24,0,10181,5755.784963,2900,50.811,2,25.4055,0,0,111.7647059,1318,0,1,0,0,,0,7,0,0,0,2013,100,1318,0,17,1,14819,6156.377065,1900,62.504,62.504,65,55,10
A6.json,172.5,227.3333333,100.1908397,366.25,29.44583333,19,2,31,,3,59,75,172.5,337,2008,100,254.5,22.093,524,4,118473,17445.66794,52500,836.499,9,92.94433333,250.8333333,183.8571429,100,169.3333333,0,22,6,8,,14,18,1,90.5,142,2011.5,100,16,0,50,3,36165,21329.4968,5000,833.614,833.614,30,40,-10
B1.json,0,31.66666667,100.7407407,659.5,179.9676667,93,0,83,,24,66,569,0,25,2008,100,659.5,76.551,540,2,134185,60947.93419,54400,892.782,5,178.5564,0,0,100,0,0,1,0,0,,0,5,0,0,0,2011,100,0,0,2,0,10041,5134.461701,200,897.661,897.661,37,37,0
B2.json,375,238.375,100,1013,22.798,23,2,71,,8,44,0,375,375,2006,100,1013,8.188,147,2,89287,54044.47536,14700,872.299,6,145.3831667,1002.5,1103.333333,100,0,0,8,2,0,,3,9,0,1002.5,1305,2008,100,0,0,8,0,18062,14710.37124,800,899.183,899.183,37,48,-11
B3.json,24.57142857,16.41666667,14.00525526,564.3333333,41.92057143,58,14,88,,36,63,861,25.5,13,2001,4,377,16.49,1332,3,126068,34125.93051,18655,917.128,27,33.9677037,430.5,158.1071429,7.840717535,24.55,0,58,4,21,,28,46,106,220,29.5,2001,3.272856474,26,0,1088,20,92059,48305.4252,8530.700679,916.312,916.312,54,47,7
B5.json,35.42857143,34.76470588,102.4017467,144.0769231,103.759,111,28,17,,51,53,281,24.5,23,2007,100,23,30.195,458,13,106414,83610.53761,46900,942.298,25,37.69192,413.375,172,101.4705882,43.1,0,79,8,7,,25,40,83,213.5,23,2008,100,25.5,0,68,20,80341,57162.12774,6900,899.217,899.217,38,47,-9
C1.json,27,26.5,3.412552301,0,0,5,1,0,,2,24,0,27,26.5,2030,2,0,0,1195,0,52397,22806.17808,4078,559.014,19,29.42178947,125.1111111,99.52,5.401759531,25.83333333,0,77,18,8,,25,38,67,25.5,25,2002,3,25.5,0,1705,18,83042,68666.01842,9210,853.893,853.893,59,57,2
C2.json,27,26.5,3.412552301,0,0,5,1,0,,2,24,0,27,26.5,2030,2,0,0,1195,0,52397,22806.17808,4078,559.014,19,29.42178947,125.1111111,99.52,5.401759531,25.83333333,0,77,18,8,,25,38,67,25.5,25,2002,3,25.5,0,1705,18,83042,68666.01842,9210,853.893,853.893,52,54,-2
C3.json,0,0,133.3333252,0,23.309,2,0,7,,0,19,36,0,0,2348,133.3333252,0,23.309,56,0,45383,17461.10762,7466.666211,620.167,18,34.45372222,25.8125,24.45,135.9223218,25.8125,0,75,16,67,,20,44,97,25.5,24,2011,133.3333252,25.5,0,206,16,95700,60945.97117,27999.99829,615.145,615.145,63,40,23
C4.json,377,316.25,126.0115607,974.2857143,28.2385,25,1,23,,4,27,19,377,383,2007,100,391,28.2385,346,7,54190,38679.83383,43600,292.181,8,36.522625,1061.333333,913.3333333,103.5714286,470,0,15,6,0,,15,9,0,1095.5,377,2009,100,470,0,56,1,18082,23272.4601,5800,289.214,289.214,65,39,26
C5.json,490.3333333,168.3076923,113.9896373,34.625,0,68,3,44,,26,55,548,25,77.5,2012,100,26.5,0,386,8,124316,68885.52237,44000,938.919,0,0,490.3333333,168.3076923,113.9896373,34.625,0,65,3,44,,26,52,548,25,77.5,2013.5,100,26.5,0,386,8,118304,66238.34849,44000,923.115,923.115,69,37,32
C6.json,23.5,20.32352941,124.6053074,451,143.5096667,74,2,141,,34,46,629,23.5,19,2002,58.94317627,261.5,154.248,298,4,102099,59400.81535,37132.38159,994.316,20,49.7158,124.5882353,68.71428571,53.25292315,24.3125,0,87,17,10,,42,31,75,26,23,2128,11.88201904,25.5,0,112,16,71757,73830.29278,5964.327393,981.921,981.921,64,40,24
C7.json,0,0,12.3117284,0,32.538,5,0,35,,0,25,216,0,0,2007,4,0,32.538,648,0,51072,7440.15744,7978,444.003,3,148.001,24.13333333,24.13333333,16.67126623,24.13333333,0,33,15,4,,15,18,70,25,25,2007,5,25,0,1232,15,36150,19090.00231,20539,441.503,441.503,65,24,41
D1.json,48.66666667,89.79220779,139.30131,159.4444444,72.24033333,118,9,70,,77,61,1020,14,46,2004,100,14,82.643,458,9,125666,80358.42305,63800,776.506,14,55.46471429,889.3333333,848.5714286,102.3255814,337,0,16,3,1,,7,13,53,1299,1299,2115,100,337,0,43,1,29741,22003.47427,4400,779.544,779.544,32,55,-23
D2.json,0,70.43478261,15.76148649,638.6666667,0,49,0,0,,23,12,29,0,27,2004,11.81818156,388,0,1937,3,30201,37096.481,30529.99934,148.849,5,29.7698,177.75,249.6666667,10.81237113,32,0,42,4,14,,9,20,8,180.5,337,2002,8,37,0,679,5,44173,27403.17146,7341.6,326.646,326.646,50,49,1
D3.json,28.07692308,33.47368421,16.41871921,231,74.459,49,13,103,,19,65,590,23,23,2001,5,19.5,29.66,609,6,130129,27955.89822,9999,781.316,20,39.0658,126.8333333,289.7,11.44136192,21.25,0,40,12,15,,20,47,80,18,18,2001,7,19.5,0,793,16,94138,37322.71427,9073,772.593,772.593,38,62,-24
D4.json,6,5.25,32.60869565,1339,16.1765,10,3,8,,4,20,8,5,4,2003,8,1339,16.1765,161,1,40069,12767.19202,5250,492.953,7,70.42185714,89.04166667,75.96153846,26.35780027,38.27777778,0,115,24,39,,52,34,78,19.5,23.5,2004,4.392003695,19.5,0,608,18,68133,80501.90577,16025.54256,492.685,492.685,22,62,-40
D5.json,21,78.32432432,108.1355932,396.5,47.4022,72,3,68,,37,70,391,21,66,2006.5,100,396.5,37.489,590,2,147291,105616.2039,63800,1203.343,15,80.22286667,80.07692308,158.2727273,100,21.8,0,126,13,11,,55,38,72,21,24,2010,100,21,0,60,15,80909,84161.14161,6000,1202.145,1202.145,43,67,-24
D6.json,337,337,20.85390947,1339,47.345,10,1,17,,2,12,309,337,337,2001.5,8,1339,47.345,486,1,24965,5352.501218,10135,240.658,4,60.1645,1339,1339,11.48333333,337,0,8,1,1,,2,13,53,1339,1339,2001,6,337,0,240,1,26019,8692.056666,2756,243.863,243.863,43,44,-1
