filename,total_focus_time,element_switch_count,element_switch_speed,totaltime,click_count,total_mouse_movement,mousewheel_count,total_mousewheel_distance,average_mousewheel_distance,copy_count,average_copy_length,paste_count,average_paste_length,delete_count,keypress_count,highlight_count,average_highlight_length,idle_count,average_idle_duration,total_idle_duration,prompts_count,total_prompts_duration,average_prompts_duration,tab_switch_count,total_tab_switch_time,average_tab_switch_time
1001,29,29,18.617724137931035,539.914,54,47857.41905340283,560,3314,5.917857142857143,21,43.42857142857143,4,112.5,32,313,30,45.233333333333334,24,3080.1666666666665,73924,1,58,58.0,14,34.926,4.989428571428571
1002,29,29,27.413068965517244,794.979,57,43471.69264873115,2524,26237,10.395007923930269,19,80.3157894736842,4,89.25,11,447,27,74.92592592592592,41,3025.121951219512,124030,0,0,0.0,6,50.373999999999995,16.79133333333333
1003,29,29,19.85058620689655,575.667,44,45922.42766854829,335,1644,4.907462686567164,25,42.48,0,0,24,413,32,37.625,25,3006.4,75160,2,204.212,102.106,0,0.0,
1005,24,24,16.71708333333333,401.21,30,25474.2929664116,803,12216,15.212951432129515,21,64.04761904761905,0,0,3,125,23,68.34782608695652,29,3001.9310344827586,87056,3,302.265,100.755,0,0.0,
1006,24,24,24.13716666666667,579.292,49,80465.42545553026,287,29600,103.13588850174216,10,62.7,4,29.0,46,301,22,55.81818181818182,40,3007.075,120283,8,473.21299999999997,59.151624999999996,0,0.0,
1007,23,23,38.99813043478261,896.957,98,72968.16842066596,2153,79897,37.10961449140734,18,62.55555555555556,3,205.0,67,1241,32,55.28125,25,3001.68,75042,0,0,0.0,0,0.0,
1012,12,12,31.75883333333333,381.106,17,45705.573786050976,184,18400,100.0,5,42.0,2,59.0,49,205,11,39.18181818181818,15,3027.0666666666666,45406,5,276.90500000000003,55.38100000000001,2,1.323,1.323
1013,38,38,17.22457894736842,654.534,68,81040.69607794059,0,0,0,25,70.6,3,142.0,36,344,70,62.357142857142854,38,3006.8947368421054,114262,2,166.45600000000002,83.22800000000001,0,0.0,
1014,33,33,16.171121212121214,533.647,47,32089.817927981963,163,7636.9464111328125,46.85243197013995,28,64.42857142857143,0,0,28,384,33,57.45454545454545,17,3001.529411764706,51026,2,245.733,122.8665,0,0.0,
1015,21,21,37.25257142857143,782.304,34,57252.53520221224,64,6500,101.5625,20,32.35,0,0,34,193,25,29.92,38,3006.3947368421054,114243,3,714.4300000000001,238.14333333333335,0,0.0,
1016,33,33,12.13069696969697,400.313,60,64104.46598785466,46,4600,100.0,30,45.7,0,0,17,369,44,56.86363636363637,18,3011,54198,2,168.72,84.36,0,0.0,
1019,22,22,27.83909090909091,612.46,34,14838.739442694543,551,3461,6.281306715063521,17,36.1764705882353,0,0,4,244,20,85.1,33,3008.181818181818,99270,3,453.655,151.21833333333333,6,21.176000000000002,7.058666666666667
1030,30,30,22.0134,660.402,65,48245.82747727903,162,16300,100.61728395061728,25,52.16,0,0,69,917,36,40.111111111111114,22,3005.590909090909,66123,7,597.9280000000001,85.41828571428573,0,0.0,
1031,31,31,26.747451612903227,829.171,39,59225.465592239954,389,2886,7.419023136246786,26,45.80769230769231,0,0,44,329,28,45.07142857142857,45,3001.5555555555557,135070,4,635.173,158.79325,0,0.0,
1033,28,28,26.419821428571428,739.755,65,71885.66211351595,216,22600,104.62962962962963,22,39.72727272727273,5,12.8,47,297,31,41.54838709677419,40,3006.675,120267,7,534.215,76.31642857142857,0,0.0,
1034,9,9,40.108333333333334,360.975,13,43805.697204713375,0,0,0,4,65.5,0,0,29,288,5,67.2,22,3006.2727272727275,66138,2,303.26800000000003,151.63400000000001,0,0.0,
1035,24,24,37.761,906.264,36,71373.9268748299,86,8600,100.0,20,36.0,0,0,74,478,22,36.63636363636363,33,3007.2727272727275,99240,0,0,0.0,0,0.0,
1036,32,32,23.2351875,743.526,75,83401.70366240693,1778,26460,14.881889763779528,29,97.24137931034483,0,0,50,924,40,115.15,49,3008.061224489796,147395,6,647.1880000000001,107.86466666666668,2,3.076,3.076
1037,32,32,28.207625,902.644,50,60667.546670010495,1839,8934,4.858075040783034,27,27.88888888888889,0,0,44,549,33,28.666666666666668,51,3006.235294117647,153318,7,770.7780000000001,110.11114285714288,0,0.0,
2011,36,36,19.64966666666667,707.388,60,99443.6765815917,109,11000,100.91743119266054,30,54.6,3,444.0,3,142,43,79.62790697674419,22,3007.681818181818,66169,2,34.724,17.362,0,0.0,
2012,38,38,14.036999999999999,533.406,82,81799.95048439656,137,14000,102.18978102189782,27,56.370370370370374,2,329.5,15,235,35,50.68571428571428,28,3156.464285714286,88381,4,162.96800000000002,40.742000000000004,12,136.906,22.817666666666668
2014,4,4,92.1755,368.702,6,9719.290742019035,481,7382,15.347193347193347,0,0,0,0,12,120,0,0,14,3001.9285714285716,42027,3,227.348,75.78266666666667,0,0.0,
2015,9,9,82.35933333333334,741.234,20,23551.455968910865,2445,24175,9.887525562372188,1,72.0,1,72.0,51,542,3,35.333333333333336,44,3003.5,132154,0,0,0.0,0,0.0,
2020,41,41,24.853731707317074,1019.003,54,59863.20944820801,97,9700,100.0,31,91.51612903225806,0,0,0,56,38,140.68421052631578,42,3450.0238095238096,144901,2,662.516,331.258,76,584.5930000000001,15.384026315789475
2022,32,32,22.46471875,718.871,72,41705.39324241863,84,16033.332388877869,190.87300462949844,20,68.55,2,46.0,538,0,46,110.6304347826087,38,3028.657894736842,115089,0,0.0,,2,47.054,47.054
2026,8,8,70.24925,561.994,14,11827.991386122729,488,7821,16.026639344262296,4,14.25,0,0,37,266,4,14.25,15,3002.4666666666667,45037,3,300.774,100.258,0,0.0,
2027,23,23,16.67104347826087,383.434,30,13350.612057981467,327,4604,14.079510703363914,18,83.38888888888889,0,0,40,350,19,85.47368421052632,15,3003.866666666667,45058,1,101,101.0,0,0.0,
2028,29,29,30.27434482758621,877.956,51,71638.30583599559,36,3600,100.0,22,31.272727272727273,0,0,19,91,27,32.48148148148148,39,3015.5897435897436,117608,2,547.781,273.8905,2,25.685,25.685
